Endereco Virtual: 63570  Endereco Fisico: 28160  Conteudo: 124
Endereco Virtual: 26251  Endereco Fisico: 49152  Conteudo: 51
Endereco Virtual: 15972  Endereco Fisico: 20992  Conteudo: 31
Endereco Virtual: 35826  Endereco Fisico: 43776  Conteudo: 69
Endereco Virtual: 5491  Endereco Fisico: 21760  Conteudo: 124
Endereco Virtual: 54253  Endereco Fisico: 51968  Conteudo: 0
Endereco Virtual: 49655  Endereco Fisico: 45312  Conteudo: 96
Endereco Virtual: 5868  Endereco Fisico: 51968  Conteudo: 11
Endereco Virtual: 20163  Endereco Fisico: 40448  Conteudo: 39
Endereco Virtual: 51079  Endereco Fisico: 42752  Conteudo: 99
Endereco Virtual: 21398  Endereco Fisico: 8960  Conteudo: 41
Endereco Virtual: 32756  Endereco Fisico: 9472  Conteudo: 63
Endereco Virtual: 64196  Endereco Fisico: 4352  Conteudo: 125
